url,answer
https://storage.yandexcloud.net/plates/46287.jpg,Н890ВТ32
https://storage.yandexcloud.net/plates/23286.jpg,В444ОО53
https://storage.yandexcloud.net/plates/16828.jpg,К955ТА32
https://storage.yandexcloud.net/plates/16723.jpg,Р846НК35
https://storage.yandexcloud.net/plates/63951.jpg,Н985ТА32
https://storage.yandexcloud.net/plates/22710.jpg,У791АН71
https://storage.yandexcloud.net/plates/54420.jpg,Х944ВР178
https://storage.yandexcloud.net/plates/61877.jpg,К730СМ46
https://storage.yandexcloud.net/plates/57087.jpg,В666ЕН197
https://storage.yandexcloud.net/plates/62554.jpg,Т004ХА77
https://storage.yandexcloud.net/plates/61254.jpg,Р900НМ163
https://storage.yandexcloud.net/plates/808.jpg,Е999ОА99
https://storage.yandexcloud.net/plates/51837.jpg,В444УЕ38
https://storage.yandexcloud.net/plates/36277.jpg,К063ТТ63
https://storage.yandexcloud.net/plates/47238.jpg,8611ВК77
https://storage.yandexcloud.net/plates/2866.jpg,В797ВА190
https://storage.yandexcloud.net/plates/2403.jpg,М067СК69
https://storage.yandexcloud.net/plates/22505.jpg,М752ОК750
https://storage.yandexcloud.net/plates/26935.jpg,У078ХМ54
https://storage.yandexcloud.net/plates/16675.jpg,В778СА125
https://storage.yandexcloud.net/plates/34670.jpg,М333ОА174
https://storage.yandexcloud.net/plates/32215.jpg,Х912УС152
https://storage.yandexcloud.net/plates/6706.jpg,О370ХО86
https://storage.yandexcloud.net/plates/60889.jpg,Е001ВК21
https://storage.yandexcloud.net/plates/42430.jpg,О811РК150
https://storage.yandexcloud.net/plates/33196.jpg,В111СХ71
https://storage.yandexcloud.net/plates/55116.jpg,О375СТ152
https://storage.yandexcloud.net/plates/38677.jpg,С900КХ799
https://storage.yandexcloud.net/plates/19289.jpg,Е200АМ136
https://storage.yandexcloud.net/plates/19236.jpg,Е074ХМ174
https://storage.yandexcloud.net/plates/34836.jpg,О226ТВ199
https://storage.yandexcloud.net/plates/31315.jpg,В346ЕТ198
https://storage.yandexcloud.net/plates/8111.jpg,Р654КТ11
https://storage.yandexcloud.net/plates/4512.jpg,АК449733
https://storage.yandexcloud.net/plates/26086.jpg,О849НН152
https://storage.yandexcloud.net/plates/63772.jpg,О451ВУ68
https://storage.yandexcloud.net/plates/1188.jpg,М967ММ38
https://storage.yandexcloud.net/plates/64614.jpg,М666ЕА39
https://storage.yandexcloud.net/plates/37166.jpg,Н741АЕ33
https://storage.yandexcloud.net/plates/13410.jpg,РК75277
