INPUT:image	INPUT:predict	OUTPUT:output	GOLDEN:output	HINT:text	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status
https://storage.yandexcloud.net/plates/34670.jpg		*333ОА174			https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/control_tasks/2037_т444та66_т444та6_0.8459566235542297.jpg	Т444ТА6	Т444ТА66	Т444ТА66		https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/5869.jpg		Р667АК774			https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/27288.jpg	К135АР21	К135АР28			https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/44608.jpg		А322ОЕ124			https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/35355.jpg		Е800ЕЕ36			https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/28866.jpg		063D07277			https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/10700.jpg		РТ591161			https://toloka.yandex.ru/task/23234949/0001628985--6077677a202381717874c291	0001628985--6077677a202381717874c291	fcacf8d8963b9a0828684a53837bfef4	APPROVED
https://storage.yandexcloud.net/plates/5869.jpg		Р667АК774			https://toloka.yandex.ru/task/23234949/0001628985--607767a1f493906e2e202431	0001628985--607767a1f493906e2e202431	e58d5ca4efac09c6529818f3187db7c3	APPROVED
https://storage.yandexcloud.net/plates/28866.jpg		063D07277			https://toloka.yandex.ru/task/23234949/0001628985--607767a1f493906e2e202431	0001628985--607767a1f493906e2e202431	e58d5ca4efac09c6529818f3187db7c3	APPROVED
https://storage.yandexcloud.net/plates/10700.jpg		РТ591161			https://toloka.yandex.ru/task/23234949/0001628985--607767a1f493906e2e202431	0001628985--607767a1f493906e2e202431	e58d5ca4efac09c6529818f3187db7c3	APPROVED
https://storage.yandexcloud.net/plates/27288.jpg	К135АР21	К135АР28			https://toloka.yandex.ru/task/23234949/0001628985--607767a1f493906e2e202431	0001628985--607767a1f493906e2e202431	e58d5ca4efac09c6529818f3187db7c3	APPROVED
https://storage.yandexcloud.net/plates/35355.jpg		Е800ЕЕ36			https://toloka.yandex.ru/task/23234949/0001628985--607767a1f493906e2e202431	0001628985--607767a1f493906e2e202431	e58d5ca4efac09c6529818f3187db7c3	APPROVED
https://storage.yandexcloud.net/plates/control_tasks/285_хн34277_хн342r7_0.9931712150573729.jpg	ХН342R7	ХН34277	ХН34277		https://toloka.yandex.ru/task/23234949/0001628985--607767a1f493906e2e202431	0001628985--607767a1f493906e2e202431	e58d5ca4efac09c6529818f3187db7c3	APPROVED
https://storage.yandexcloud.net/plates/44608.jpg		А322ОЕ124			https://toloka.yandex.ru/task/23234949/0001628985--607767a1f493906e2e202431	0001628985--607767a1f493906e2e202431	e58d5ca4efac09c6529818f3187db7c3	APPROVED
